	videoId	narrative	super_narrative
0	Qy16OREVIOg	Discrediting political rivals (e.g. ridicule, accusation)	It is Us vs. Them (the establishment)
1	yVfTyHepYFI	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
2	w6BXQ27nQfw	Immigration is a threat to individual safety	Immigration is a threat
3	0mQjDwNoTVY	Immigration reduces the attractiveness of location and lowers overall life quality	Immigration burdens the economy & welfare narrative
4	QNBMHu1bjzI	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
5	O2ZkCuYKA6k	None	None
6	PaZi9ku1jn8	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
7	EbeuDxaxvRY	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
8	8pF0jcX4l40	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
9	VzJLsIaJBJU	We are being silenced	There is an unfair bias against our political camp
10	ZT4LzjQwNvk	Great replacement	Immigration is part of a conspiracy
11	8Cz4W6_pB5Q	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
12	P9xXW7YHw8s	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
13	AuKoavUI5xc	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
14	7z6uousyXwM	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
15	STpdobvBAcI	Many immigrants are terrorists	Immigration is a threat
16	_lRZ6ZWovDk	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
17	eClpP5lUG_0	Immigrants are victims of human traffickers.	Immigrants are victims
18	_0Z8RcniEGk	MS or EU are in breach of international law (e.g. inadequate reception facilities, refoulement at the borders, prolonged asylum procedures)	Immigrants are victims
19	eTda-SR7g60	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
20	ehdGeFqwYJ0	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
21	pnCWkc6S0fI	Immigrants are a strain on the housing market	Immigration burdens the economy & welfare narrative
22	K_Dm7VrG1qg	Immigrants are victims of human traffickers.	Immigrants are victims
23	0u_bfNmp-k8	Political rivals’ policy failed/ is failing/ will fail	It is Us vs. Them (the establishment)
24	jYMoSf7Pos8	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
25	WBPvC64HMZA	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
26	h85UHcVi9lQ	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
27	KvOMwyY0Iow	Natives loose to immigrants / Immigrants receive better benefits than nationals	Immigration burdens the economy & welfare narrative
28	Om09hjaz3Hk	Immigrants are prone to committing crimes (violent, non-violent, or organised)	Immigration is a threat
29	vPkDoLK5Ba0	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
30	8LnBKnlV0uc	Immigrants abuse the welfare system	Immigration burdens the economy & welfare narrative
31	qPDPAxhZc74	Many asylum seekers are actually economic migrants	Immigration burdens the economy & welfare narrative
32	M8ARePYvfnY	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
33	iUaBkgEz7SU	None	None
34	05CjqcS5b08	None	None
35	-8cqGNhKn0k	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
36	KPQK8hGOWU4	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
37	6IyOxb6gl-0	Immigrants suffer from labour exploitation	Immigrants are victims
38	oADDWgXkg0E	Many immigrants are terrorists	Immigration is a threat
39	eCxeyi-8QiM	Immigrants do not contribute to the economy	Immigration burdens the economy & welfare narrative
40	vErYsFa6R9c	Immigrants are prone to committing crimes of a sexual nature	Immigration is a threat
41	qGU84MbdxEk	Immigration is a threat to the European way of life / identity	Immigrants’ identity and/or culture is problematic
42	z5cOOYluVYQ	Promoting policy initiatives or ideas	We are competent
43	4Y-GDnQfKpU	Great replacement	Immigration is part of a conspiracy
44	mWHxVhY07LY	Certain immigrants are unwilling/incapable to integrate	Immigrants’ identity and/or culture is problematic
45	auhjkK5wWiE	Certain immigrants /asylum seekers are discriminated against	Immigrants are victims
46	BOQtnjfc3e8	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
47	SY1v6E1xkrY	Political rivals act against the interests of the people	It is Us vs. Them (the establishment)
48	NoUdTumcQ_g	We are being silenced	There is an unfair bias against our political camp
49	RDlspfOoLco	Arabs and/or Muslims are a cultural/social threat	Immigrants’ identity and/or culture is problematic
50	yXHI-veVshQ	Immigration helps tackle social & economic issues (e.g. skills and labour shortages)	Pragmatic approaches to immigration
